transaction_id,sale_date,sale_year,sale_month,sale_quarter,model,variant,segment,body_style,fuel_type,transmission,color,trim_line,optional_packages,options_cost_usd,msrp_usd,discount_percent,discount_amount_usd,final_sale_price_usd,financing_type,loan_term_months,region,country,sales_channel,customer_type,warranty_package,delivery_days,customer_satisfaction_score,is_repeat_customer,trade_in
BMW-2025-00001,16/10/2025,2025,10,Q4,2 Series,M240i,Compact,Hatchback,Electric (BEV),Automatic,Black Sapphire,M Sport,4,3380.44,47344.97,8.78,4156.89,43188.08,Lease,24,North America,USA,Dealership,Individual,5-Year Premium,86,4.4,FALSE,TRUE
BMW-2025-00002,26/08/2025,2025,8,Q3,4 Series,420i,Coupe,Sedan,Petrol,Steptronic Sport,Tanzanite Blue,Sport Line,2,3652.67,61068.13,10.39,6344.98,54723.15,Lease,24,China,China,Dealership,Individual,5-Year Premium,61,2.5,TRUE,FALSE
BMW-2024-00003,21/03/2024,2024,3,Q1,X3,M,SUV,SUV,Petrol,Automatic,Dravit Grey,Luxury Line,3,3817.67,58428.37,0.25,146.07,58282.3,Loan,24,Asia Pacific,South Korea,Online Direct,Corporate,2-Year Standard,49,4.6,FALSE,TRUE
BMW-2024-00004,30/09/2024,2024,9,Q3,X5,xDrive40i,SUV,SUV,Petrol,Automatic,Frozen Pure Grey,M Sport,5,6756.4,83810.05,2.2,1843.82,81966.23,Subscription,0,China,China,Dealership,Individual,2-Year Standard,10,2.5,FALSE,FALSE
BMW-2025-00005,14/02/2025,2025,2,Q1,4 Series,430i,Coupe,Sedan,Petrol,Manual,Mineral Grey,M Sport,4,4986.64,65315.77,5.18,3383.36,61932.41,Lease,48,Middle East,Qatar,Dealership,Corporate,3-Year Extended,77,4.4,FALSE,FALSE
BMW-2024-00006,21/05/2024,2024,5,Q2,X1,xDrive20i,SUV,SUV,Hybrid (PHEV),Automatic,Melbourne Red,M Sport,4,4909.62,49067.4,4.4,2158.97,46908.43,Cash,0,China,China,Dealership,Rental,5-Year Premium,4,4.6,FALSE,FALSE
BMW-2025-00007,03/07/2025,2025,7,Q3,X7,M60i,SUV,SUV,Petrol,Automatic,Tanzanite Blue,Luxury Line,0,0,101511.99,7.29,7400.22,94111.77,Loan,72,Europe,France,Online Direct,Individual,5-Year Premium,84,4.6,FALSE,TRUE
BMW-2024-00008,14/06/2024,2024,6,Q2,X1,xDrive23i,SUV,SUV,Electric (BEV),Manual,Carbon Black,Standard,4,9639.26,43766.65,5.28,2310.88,41455.77,Loan,48,Middle East,Qatar,Dealership,Individual,2-Year Standard,65,4.7,FALSE,FALSE
BMW-2024-00009,08/05/2024,2024,5,Q2,3 Series,340i,Sedan,Sedan,Diesel,Steptronic Sport,Portimao Blue,Sport Line,5,9523.96,53238.04,3.74,1991.1,51246.94,Loan,36,Middle East,Saudi Arabia,Online Direct,Individual,3-Year Extended,69,4.6,TRUE,TRUE
BMW-2024-00010,12/12/2024,2024,12,Q4,1 Series,120i,Compact,Hatchback,Petrol,Automatic,Black Sapphire,M Sport,2,3874.52,43573.49,9.3,4052.33,39521.16,Cash,0,China,China,Dealership,Individual,5-Year Premium,19,4.4,FALSE,FALSE
BMW-2025-00011,29/04/2025,2025,4,Q2,4 Series,M440i,Coupe,Sedan,Petrol,Automatic,Black Sapphire,Standard,0,0,55342.08,4.66,2578.94,52763.14,Lease,24,Asia Pacific,Australia,Dealership,Rental,2-Year Standard,16,4.4,TRUE,FALSE
BMW-2024-00012,23/05/2024,2024,5,Q2,7 Series,760i,Luxury,Sedan,Hybrid (PHEV),Automatic,Black Sapphire,Sport Line,0,0,98645.7,6.51,6421.84,92223.86,Cash,0,Europe,Poland,Fleet/Corporate,Corporate,3-Year Extended,24,2.5,FALSE,TRUE
BMW-2025-00013,14/02/2025,2025,2,Q1,i7,eDrive60,EV,Sedan,Hybrid (PHEV),Automatic,Portimao Blue,xLine,1,1304.4,114316.27,0.89,1017.41,113298.86,Loan,72,Europe,Italy,Dealership,Individual,5-Year Premium,77,2.5,FALSE,FALSE
BMW-2024-00014,28/02/2024,2024,2,Q1,1 Series,M135i,Compact,Hatchback,Electric (BEV),Automatic,Frozen Pure Grey,Luxury Line,1,1486.42,38191.93,11.84,4521.92,33670.01,Cash,0,Europe,Poland,Dealership,Individual,2-Year Standard,75,2.5,FALSE,TRUE
BMW-2024-00015,24/03/2024,2024,3,Q1,5 Series,M5,Sedan,Sedan,Hybrid (PHEV),Automatic,Portimao Blue,Luxury Line,0,0,64958.46,0.07,45.47,64912.99,Lease,48,Europe,France,Dealership,Government,2-Year Standard,75,3.9,TRUE,TRUE
